Date,Close,High,Low,Open,Volume
19-02-2003,10.33973408,10.47193636,10.24566743,10.47193636,7042800
20-02-2003,10.18210506,10.37278119,10.17702025,10.29142612,8909400
21-02-2003,10.3321104,10.34228004,10.16940016,10.24567046,11297600
24-02-2003,10.12363338,10.329564,10.12363338,10.329564,8390400
25-02-2003,10.26600933,10.28126281,10.04228226,10.09312946,11328800
26-02-2003,10.09821033,10.25075088,10.04736316,10.24566607,9374600
27-02-2003,10.23549652,10.32956413,10.09566752,10.13126025,9354000
28-02-2003,10.22532749,10.33210568,10.15668396,10.23549615,8920800
03-03-2003,9.968545914,10.28125459,9.968545914,10.21006916,11912800
04-03-2003,9.754993439,9.973635621,9.739739964,9.973635621,12807600
05-03-2003,9.546520233,9.754992772,9.409233155,9.521097131,23918800
06-03-2003,9.546520233,9.599909329,9.457538407,9.546520233,14582000
07-03-2003,9.584658623,9.620251364,9.444829582,9.444829582,14152600
10-03-2003,9.42448616,9.559230325,9.40923172,9.508384129,11275400
11-03-2003,9.574484825,9.711771883,9.432112954,9.432112954,12187600
12-03-2003,9.730474472,9.781620395,9.584709227,9.589823916,17142400
13-03-2003,10.08850384,10.08850384,9.845561223,9.86602,16248600
14-03-2003,10.20357895,10.2317083,10.09105766,10.13964675,13410200
17-03-2003,10.48232269,10.48232269,10.15243235,10.2035783,14134200
18-03-2003,10.47720528,10.48999152,10.30586654,10.48999152,12957600
19-03-2003,10.69201946,10.70224787,10.42350349,10.47720727,12900000
20-03-2003,10.62040997,10.70224305,10.47208786,10.69201465,9475400
21-03-2003,10.80454254,10.81732879,10.56159997,10.72782409,13678800
24-03-2003,10.46186447,10.73805203,10.4260626,10.68946293,9899400
25-03-2003,10.48487949,10.53346761,10.37491605,10.45930701,10120200
26-03-2003,10.41583347,10.50022444,10.39793254,10.49766661,9894800
27-03-2003,10.44907379,10.54880782,10.26494883,10.35189662,8500400
28-03-2003,10.41583347,10.50533913,10.33911503,10.44907849,7672600
31-03-2003,10.35190201,10.40304796,10.15499071,10.31098544,11954400
01-04-2003,10.32888222,10.3774713,10.19846101,10.35701253,13867600
02-04-2003,10.59995747,10.67156121,10.48487933,10.52323903,10338600
03-04-2003,10.53602791,10.62297575,10.4720957,10.59996012,8541200
04-04-2003,10.71503448,10.89404382,10.52323793,10.76873729,8908400
07-04-2003,10.66388702,10.90938634,10.63831357,10.88125603,10194400
08-04-2003,10.70224667,10.75339261,10.64087232,10.72782012,6925600
09-04-2003,10.65621567,10.90938754,10.59484132,10.73549192,8999200
10-04-2003,10.59739971,10.70992099,10.56159784,10.70224847,6655400
11-04-2003,10.59483719,10.72781619,10.56159219,10.67667027,6974600
14-04-2003,10.84546089,10.86591967,10.59484673,10.59484673,6648400
15-04-2003,10.8761425,10.95797562,10.73804973,10.86847095,7816600
16-04-2003,10.20357895,10.66389057,10.1038439,10.39537554,30495000
17-04-2003,10.33144093,10.39025842,9.973420319,10.20869028,23306200
21-04-2003,10.25728226,10.43373478,10.20869316,10.36980258,7049600
22-04-2003,10.33399677,10.34166832,10.14731494,10.20357556,13456200
23-04-2003,10.22914886,10.35701323,10.15243044,10.30075259,12061000
24-04-2003,10.2061348,10.25472291,10.03735385,10.21636418,11738600
25-04-2003,10.08082485,10.26494983,10.03735144,10.24193421,10260400
28-04-2003,10.31354332,10.36980299,10.16522014,10.18823577,11037600
29-04-2003,10.4414053,10.48487872,10.31354092,10.31354092,10469400
30-04-2003,10.33144093,10.44651807,10.26239405,10.38770058,12709600
01-05-2003,10.34166813,10.38002782,10.08593943,10.33143972,10425800
02-05-2003,10.48487949,10.50789512,10.27518198,10.28029667,10687800
05-05-2003,10.36468601,10.51045132,10.30586852,10.48487884,7072000
06-05-2003,10.48999596,10.56159971,10.38770404,10.44652155,10097000
07-05-2003,11.06537914,11.11652507,10.80709265,10.87102482,31069400
08-05-2003,10.9656496,11.08839929,10.92473304,11.00912303,15021800
09-05-2003,11.24951077,11.29809889,11.10374445,11.14977571,16121800
12-05-2003,11.37992954,11.43619018,11.21882015,11.24950831,10735400
13-05-2003,11.31599903,11.36970184,11.15744745,11.32878528,9108200
14-05-2003,11.31599903,11.41061841,11.22649434,11.40550372,7854800
15-05-2003,11.41573524,11.50268309,11.36714712,11.37993336,8908800
16-05-2003,11.23928452,11.50268495,11.23928452,11.44386743,9979000
19-05-2003,11.28019524,11.34668428,11.15488772,11.17534649,9228400
20-05-2003,11.38504028,11.39782652,11.24438971,11.30320719,12090000
21-05-2003,11.28787041,11.34413106,11.2034804,11.31600073,10507000
22-05-2003,11.38760281,11.47455063,11.27508249,11.28786873,10194600
23-05-2003,11.30065441,11.43363349,11.26485254,11.32878473,5883000
27-05-2003,11.42084599,11.4694341,11.21370535,11.24695036,8908200
28-05-2003,11.2929821,11.40806024,11.28275272,11.38760147,10108800
29-05-2003,11.41062069,11.58451638,11.34157378,11.34157378,14845000
30-05-2003,11.65355968,11.75073689,11.50523751,11.52825314,11478200
02-06-2003,11.7123785,11.8197851,11.59474349,11.74818038,9052200
03-06-2003,11.79165268,11.86069956,11.69959017,11.7763086,7629800
04-06-2003,11.9144001,11.93485789,11.71237419,11.73794765,7991000
05-06-2003,11.96299076,11.9808917,11.84279891,11.91440265,7891800
06-06-2003,11.99112225,12.08318476,11.94253413,11.98345069,8624800
09-06-2003,11.98601055,12.01669871,11.86581866,11.86581866,6309400
