date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2005-08-15,8-K,0001193125-05-168022,1,3,2,2,1,0.1066,0.3198,0.2132,-0.2132,938
2005-08-16,8-K,0001193125-05-169032,0,1,1,2,1,0.0,0.5263,0.5263,-0.5263,190
2005-08-16,8-K,0001193125-05-169121,6,5,37,5,3,0.3519,0.2933,2.1701,0.0587,1705
2005-08-30,8-K,0001193125-05-177373,0,3,2,2,1,0.0,0.3398,0.2265,-0.3398,883
2005-08-31,10-Q,0000104169-05-000015,195,65,76,99,20,2.6157,0.8719,1.0195,1.7438,7455
2005-09-27,8-K,0001193125-05-192370,0,2,3,2,1,0.0,0.2227,0.3341,-0.2227,898
2005-09-28,8-K,0001169232-05-004730,0,1,3,2,1,0.0,0.4902,1.4706,-0.4902,204
2005-10-04,8-K,0001169232-05-004808,5,6,10,6,3,0.4181,0.5017,0.8361,-0.0836,1196
2005-11-14,8-K,0001193125-05-223974,0,1,1,2,1,0.0,0.5291,0.5291,-0.5291,189
2005-12-02,10-Q,0000104169-05-000019,190,88,99,109,28,2.3614,1.0937,1.2304,1.2677,8046
2005-12-12,8-K,0001169232-05-005638,1,1,1,3,3,0.3185,0.3185,0.3185,0.0,314
2005-12-20,8-K,0001169232-05-005688,0,5,6,5,4,0.0,1.2563,1.5075,-1.2563,398
2006-01-11,8-K,0001169232-06-000080,4,3,7,2,2,0.9615,0.7212,1.6827,0.2404,416
2006-02-02,8-K,0001169232-06-000390,2,1,4,2,1,0.3643,0.1821,0.7286,0.1821,549
2006-02-21,8-K,0001193125-06-035152,0,1,1,2,1,0.0,0.463,0.463,-0.463,216
2006-03-07,8-K,0001169232-06-001420,5,14,40,2,4,0.4695,1.3146,3.7559,-0.8451,1065
2006-03-29,10-K,0001193125-06-066792,102,37,138,26,18,1.183,0.4291,1.6006,0.7539,8622
2006-04-14,8-K,0001193125-06-080514,0,1,1,2,1,0.0,0.3953,0.3953,-0.3953,253
2006-05-16,8-K,0001193125-06-113290,0,1,3,2,1,0.0,0.4785,1.4354,-0.4785,209
2006-05-25,8-K,0001193125-06-119563,0,2,13,2,2,0.0,0.232,1.5081,-0.232,862
2006-06-02,10-Q,0000104169-06-000003,183,88,153,106,33,2.0449,0.9834,1.7097,1.0616,8949
2006-06-07,8-K,0001169232-06-002685,1,1,1,2,1,0.2611,0.2611,0.2611,0.0,383
2006-08-01,8-K,0001169232-06-003240,0,1,1,2,1,0.0,0.641,0.641,-0.641,156
2006-08-15,8-K,0001193125-06-173227,0,1,1,2,1,0.0,0.4808,0.4808,-0.4808,208
2006-08-30,10-Q,0000104169-06-000012,264,111,170,113,38,2.3055,0.9693,1.4846,1.3361,11451
2006-09-25,8-K,0001169232-06-003861,2,9,9,2,7,0.2433,1.0949,1.0949,-0.8516,822
2006-11-14,8-K,0001193125-06-233672,0,1,1,2,1,0.0,0.4808,0.4808,-0.4808,208
2006-11-20,8-K,0001169232-06-004602,1,1,8,2,1,0.2049,0.2049,1.6393,0.0,488
2006-11-30,10-Q,0000104169-06-000015,270,113,162,112,49,2.3628,0.9889,1.4177,1.3739,11427
2006-12-18,8-K,0001193125-06-255407,0,2,5,2,4,0.0,0.1988,0.497,-0.1988,1006
2006-12-20,8-K,0001193125-06-257323,0,2,5,2,1,0.0,0.2257,0.5643,-0.2257,886
2007-01-10,8-K,0001169232-07-000063,0,1,1,2,1,0.0,0.3509,0.3509,-0.3509,285
2007-02-02,8-K,0001193125-07-019076,0,1,2,2,1,0.0,0.3165,0.6329,-0.3165,316
2007-02-08,8-K,0001193125-07-024241,0,1,1,2,1,0.0,0.5181,0.5181,-0.5181,193
2007-02-20,8-K,0001193125-07-034618,0,1,1,2,1,0.0,0.4587,0.4587,-0.4587,218
2007-03-27,10-K,0001193125-07-065603,20,2,44,4,10,0.9443,0.0944,2.0774,0.8499,2118
2007-04-03,8-K,0001169232-07-001769,2,2,6,3,4,0.2805,0.2805,0.8415,0.0,713
2007-04-05,8-K,0001193125-07-074707,0,3,4,2,1,0.0,0.2297,0.3063,-0.2297,1306
2007-05-15,8-K,0001193125-07-114400,0,1,3,2,1,0.0,0.4651,1.3953,-0.4651,215
2007-06-01,10-Q,0001193125-07-128008,259,118,153,125,36,2.3915,1.0896,1.4127,1.3019,10830
2007-08-14,8-K,0001193125-07-181442,0,1,1,2,1,0.0,0.4717,0.4717,-0.4717,212
2007-08-23,8-K,0001193125-07-188233,0,3,4,2,1,0.0,0.2597,0.3463,-0.2597,1155
2007-09-10,10-Q,0001193125-07-198266,353,166,160,123,38,2.6722,1.2566,1.2112,1.4156,13210
2007-11-13,8-K,0001193125-07-243455,0,1,1,2,1,0.0,0.4651,0.4651,-0.4651,215
2007-11-29,10-Q,0000104169-07-000010,301,139,149,115,37,2.5113,1.1597,1.2431,1.3516,11986
2008-01-18,8-K,0001169232-08-000267,0,1,1,2,1,0.0,0.6173,0.6173,-0.6173,162
2008-01-25,8-K,0001169232-08-000293,0,1,2,1,3,0.0,0.3086,0.6173,-0.3086,324
2008-01-29,8-K,0001193125-08-014531,2,3,4,4,1,0.1452,0.2179,0.2905,-0.0726,1377
2008-02-08,8-K,0001193125-08-023955,0,1,1,2,1,0.0,0.4608,0.4608,-0.4608,217
2008-02-19,8-K,0001193125-08-033081,0,1,1,2,1,0.0,0.4505,0.4505,-0.4505,222
2008-03-31,10-K,0001193125-08-071085,23,6,44,4,10,1.0555,0.2754,2.0193,0.7802,2179
2008-04-14,8-K,0001193125-08-080935,1,3,2,2,1,0.0833,0.2498,0.1665,-0.1665,1201
2008-05-13,8-K,0001193125-08-112325,0,1,3,2,1,0.0,0.4717,1.4151,-0.4717,212
2008-06-09,10-Q,0001193125-08-130418,279,90,149,131,49,2.4536,0.7915,1.3104,1.6621,11371
2008-08-14,8-K,0001193125-08-177102,0,1,4,2,1,0.0,0.2336,0.9346,-0.2336,428
2008-08-21,8-K,0001193125-08-182267,4,4,3,6,1,1.1834,1.1834,0.8876,0.0,338
2008-09-04,10-Q,0000104169-08-000006,344,143,177,143,50,2.4152,1.004,1.2427,1.4112,14243
2008-11-13,8-K,0001193125-08-234356,0,1,4,2,1,0.0,0.2331,0.9324,-0.2331,429
2008-11-21,8-K,0001193125-08-240640,3,2,5,3,9,0.271,0.1807,0.4517,0.0903,1107
2008-12-09,10-Q,0001193125-08-250391,407,147,186,160,50,2.6835,0.9692,1.2263,1.7142,15167
2009-01-07,8-K,0001193125-09-002617,1,2,4,3,8,0.1626,0.3252,0.6504,-0.1626,615
2009-01-13,8-K,0000104169-09-000002,6,13,7,6,4,0.3774,0.8176,0.4403,-0.4403,1590
2009-01-22,8-K,0001193125-09-009805,1,3,2,2,1,0.0859,0.2577,0.1718,-0.1718,1164
2009-02-05,8-K,0001193125-09-019424,0,1,3,2,3,0.0,0.1992,0.5976,-0.1992,502
2009-02-17,8-K,0001193125-09-030183,1,5,7,3,1,0.1362,0.6812,0.9537,-0.545,734
2009-03-09,8-K,0001193125-09-048645,4,4,13,5,5,0.4065,0.4065,1.3211,0.0,984
2009-03-26,8-K,0001193125-09-064415,0,3,3,2,4,0.0,0.2737,0.2737,-0.2737,1096
2009-04-01,10-K,0000104169-09-000006,71,13,81,3,14,1.3042,0.2388,1.4879,1.0654,5444
2009-05-14,8-K,0001193125-09-110525,1,1,11,2,1,0.1996,0.1996,2.1956,0.0,501
2009-05-14,8-K,0001193125-09-110572,7,5,40,5,3,0.3966,0.2833,2.2663,0.1133,1765
2009-05-20,8-K,0001193125-09-115781,2,3,13,2,1,0.2235,0.3352,1.4525,-0.1117,895
2009-06-05,10-Q,0000104169-09-000008,262,136,171,132,55,2.0011,1.0387,1.306,0.9623,13093
2009-07-24,8-K,0001193125-09-154728,0,3,3,3,1,0.0,0.2874,0.2874,-0.2874,1044
2009-08-13,8-K,0001193125-09-173667,8,2,8,2,2,0.9357,0.2339,0.9357,0.7018,855
2009-09-09,10-Q,0001193125-09-189177,393,189,211,146,63,2.3174,1.1145,1.2442,1.2029,16959
2009-09-18,8-K,0001193125-09-194368,0,3,3,2,3,0.0,0.2573,0.2573,-0.2573,1166
2009-11-12,8-K,0001193125-09-231868,17,4,7,3,2,1.4085,0.3314,0.58,1.0771,1207
2009-12-08,10-Q,0001193125-09-248603,427,199,234,128,60,2.5161,1.1726,1.3788,1.3435,16971
2010-01-28,8-K,0001193125-10-015800,5,4,4,3,1,1.3477,1.0782,1.0782,0.2695,371
2010-02-18,8-K,0001193125-10-033699,2,2,7,2,2,0.2353,0.2353,0.8235,0.0,850
2010-03-30,10-K,0001193125-10-071652,69,13,67,4,11,1.3822,0.2604,1.3421,1.1218,4992
2010-04-01,8-K,0001193125-10-073736,0,3,2,2,1,0.0,0.2513,0.1675,-0.2513,1194
2010-04-26,8-K,0001193125-10-093270,0,1,1,2,1,0.0,0.6098,0.6098,-0.6098,164
2010-05-18,8-K,0001193125-10-122849,0,2,7,1,2,0.0,0.3472,1.2153,-0.3472,576
2010-06-04,10-Q,0001193125-10-132759,290,134,186,116,42,2.3301,1.0767,1.4945,1.2534,12446
2010-06-09,8-K,0001193125-10-136123,0,2,5,2,4,0.0,0.4184,1.046,-0.4184,478
2010-06-29,8-K,0001193125-10-149256,2,2,4,3,4,0.2608,0.2608,0.5215,0.0,767
2010-07-02,8-K,0001193125-10-153226,0,1,1,2,3,0.0,0.4484,0.4484,-0.4484,223
2010-07-07,8-K,0001193125-10-154788,1,3,2,2,1,0.0723,0.2168,0.1445,-0.1445,1384
2010-08-17,8-K,0001193125-10-190753,0,2,5,2,2,0.0,0.3145,0.7862,-0.3145,636
2010-09-01,10-Q,0001193125-10-202779,384,155,214,100,42,2.5227,1.0183,1.4059,1.5044,15222
2010-09-29,8-K,0001193125-10-219695,2,3,2,3,3,0.3738,0.5607,0.3738,-0.1869,535
2010-10-22,8-K,0001193125-10-234633,1,3,2,2,1,0.062,0.186,0.124,-0.124,1613
2010-11-16,8-K,0001193125-10-261366,2,2,5,3,2,0.2667,0.2667,0.6667,0.0,750
2010-12-06,10-Q,0001193125-10-274171,359,149,208,107,45,2.3648,0.9815,1.3701,1.3833,15181
2011-02-22,8-K,0001193125-11-041255,9,2,5,3,2,1.0551,0.2345,0.5862,0.8206,853
2011-03-30,10-K,0001193125-11-083157,76,16,76,4,12,1.3841,0.2914,1.3841,1.0927,5491
2011-04-15,8-K,0001193125-11-099747,0,3,2,2,1,0.0,0.1883,0.1255,-0.1883,1593
2011-05-17,8-K,0001193125-11-142247,7,2,6,3,2,0.9138,0.2611,0.7833,0.6527,766
2011-06-03,10-Q,0001193125-11-158587,320,118,174,86,38,2.5898,0.955,1.4082,1.6348,12356
2011-06-09,8-K,0001193125-11-162092,0,2,1,2,3,0.0,0.3766,0.1883,-0.3766,531
