date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,day_of_week,month,quarter,market_regime,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
2009-06-30,10.531040906219134,10.610768399148569,10.3874808746385,10.471181869506836,103652244,-0.6012270416285381,-0.0330089671245234,10.534518241882324,10.076019287109377,10.332341194152832,10.32219396318708,10.516511154174804,10.14378688812256,8.852446517944337,1.33285700427965,1.3217347562654769,128900970.0,0.8041230721537627,3.921812485045617,1.3437484568606273,-0.4310296827857535,3.22754199191257,11.074283958406342,9.958738349943266,41.170830359413706,1,6,2,bullish,10.406606674194336,-0.6166944296951774,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-01,10.53600958330924,10.5906523407679,10.385743420082024,10.406606674194336,92339568,-0.6166944296951749,0.6191059864138944,10.471181869506836,10.165681838989258,10.311478614807127,10.36349514552525,10.500789165496826,10.162424869537354,8.850599865913392,1.3232103232215575,1.3288775375891388,126459414.0,0.7301913323748281,2.3699820535504124,0.9225452812422484,-0.8969086972239402,2.4027907491738096,11.051974600003213,9.94960373099044,41.84191338688631,2,7,3,bullish,10.145812034606934,-2.506048779897725,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-02,10.317687276791997,10.317687276791997,10.104085534896129,10.145812034606934,100603296,-2.5060487798977293,-0.854451409438161,10.406606674194336,10.326631546020508,10.28415870666504,10.373465538024902,10.46131010055542,10.174659729003906,8.846322860717773,1.3232697319462627,1.4127989292074064,124220655.0,0.8098757489243636,-1.7510018693680962,-1.3452405393981737,-3.0158561682607514,-0.2835249056510396,10.99423284987963,9.928387351231208,37.92287206133024,3,7,3,bullish,10.17363166809082,0.2741981951665883,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-06,10.096387846396548,10.199213336173989,9.976174735252036,10.17363166809082,90413496,0.2741981951665861,-0.4871388119728837,10.145812034606934,10.56382656097412,10.43392848968506,10.374601227896552,10.418204879760742,10.187038688659667,8.845716824531555,1.298010042282547,1.4121550223228243,121387091.4,0.7448361679749417,-3.693688935833117,-2.4947154070642408,-2.3475561720335283,-0.1316086154043163,10.8916389386208,9.944770820900684,44.10605646837498,0,7,3,bullish,9.851243019104004,-3.16886495898977,0,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-07,10.139603983199589,10.163199846276395,9.83509723578481,9.851243019104004,130241628,-3.16886495898977,-0.334469400911753,10.17363166809082,10.534518241882324,10.117498397827148,10.306688581194196,10.365872573852538,10.190585479736328,8.840445094108581,1.4286804786110756,1.5276355978202003,121707970.2,1.0701158501450383,-6.486060464177735,-2.63163252667602,-4.964652527628644,-3.329960396358932,10.847370116749907,9.884375030955168,36.72386949670141,1,7,3,bullish,9.996788024902344,1.477427828306458,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-08,9.934943186811212,10.083967486056991,9.886758562426005,9.996788024902344,137510352,1.4774278283064657,0.8496406752416225,9.851243019104004,10.471181869506836,10.076019287109377,10.225683076041085,10.32472939491272,10.198801651000975,8.834650530815125,1.4934259364064066,1.4655159173675476,122080197.6,1.1263935896512671,-4.530470872499848,-0.7863349597632796,-3.176270849015773,-1.980758455860414,10.783031116031507,9.866427673793927,41.87506925139549,2,7,3,bullish,10.19300365447998,1.96278673798881,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-09,10.086948634497103,10.293844281350273,10.079000684058483,10.19300365447998,130892976,1.96278673798882,0.9018957826270436,9.996788024902344,10.406606674194336,10.165681838989258,10.176895277840751,10.297147512435911,10.212054843902589,8.832197842597962,1.5800642381231191,1.508288114652787,121913764.2,1.0736521578094296,-2.052571279012927,0.268765203588539,-1.011385510697575,-0.1865558862914031,10.713523525566131,9.880771499305697,47.83527988966117,3,7,3,bullish,10.2926025390625,0.9771298820122006,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-10,10.172887292511714,10.36637073342822,10.151030189962272,10.2926025390625,116946936,0.9771298820121954,-0.197354603708253,10.19300365447998,10.145812034606934,10.326631546020508,10.15138394492013,10.27901620864868,10.22344524383545,8.830351181030274,1.5967611411956992,1.5031447783507637,122036441.4,0.9582951998467566,1.446808830627555,-0.3295266884110082,0.1321753963417981,0.6764578239292776,10.659798332521612,9.89823408477575,46.56191230534299,4,7,3,bullish,10.538492202758787,2.3889940640677443,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-13,10.336564848924253,10.543956477957003,10.311975137270958,10.538492202758787,161666172,2.38899406406774,0.427125303779165,10.2926025390625,10.17363166809082,10.56382656097412,10.170224734715053,10.278345584869385,10.237518100738525,8.829008712768555,1.6815771554301988,1.535570093333842,124288786.8,1.3007301476049165,3.586335210191849,-0.2398217925020151,2.531016453390735,2.939912770445332,10.657146199758545,9.899544969980226,60.6056689266134,0,7,3,bullish,10.548178672790527,0.0919151416101303,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
2009-07-14,10.52383695062878,10.598846975043529,10.4532992455831,10.548178672790527,115716168,0.0919151416101327,-0.1390640316284738,10.538492202758787,9.851243019104004,10.534518241882324,10.227705683026995,10.288181161880493,10.2529172706604,8.827157082557678,1.620587994094587,1.4800420244609394,122608269.0,0.9437876331163276,7.074596092442276,0.1296730481123775,2.52714747941425,2.87977942604728,10.684773333642354,9.891588990118631,62.08826598653308,1,7,3,bullish,10.882987022399902,3.1740868257477217,1,0.0,2.0,2.0,2.0,3.0,0.0,0.554,0.554,-0.554,-0.554,-0.554,0.0,0.0,0,1
