date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,market_regime,day_of_week,month,quarter,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
1996-04-16,9.443374,9.530812,9.414227,9.487093,5059200,0.463,0.0,9.44337,9.53081,9.822276,9.43,9.65,9.52,8.5,0.1966,0.1882,6121720,0.83,-0.46,-3.41,-1.69,-0.35,10.04,9.26,34.78,Bull,2,4,2,9.34136,-1.5361,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-17,9.457945,9.457945,9.253921,9.34136,8906000,-1.5361,-0.3072,9.487093,9.195631,9.793128,9.39,9.64,9.53,8.51,0.2087,0.1915,6251840,1.42,1.58,-4.61,-3.1,-1.98,10.06,9.22,34.04,Bull,3,4,2,9.268497,-0.78,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-18,9.341362,9.399654,9.253923,9.268497,9608000,-0.78,0.0,9.34136,9.312216,9.793128,9.35,9.61,9.54,8.52,0.2198,0.2004,6437180,1.49,-0.47,-5.36,-3.55,-2.85,10.05,9.17,32.32,Bull,4,4,2,9.181051,-0.9435,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-19,9.26849,9.355928,9.122759,9.181051,13010400,-0.9435,-0.0001,9.268497,9.414229,9.763987,9.35,9.58,9.54,8.53,0.2373,0.2123,6830740,1.9,-2.48,-5.97,-4.16,-3.76,10.05,9.11,33.33,Bull,5,4,2,9.399653,2.381,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-22,9.268495,9.414227,9.268495,9.399653,7160800,2.381,0.9524,9.181051,9.44337,9.618252,9.36,9.57,9.55,8.54,0.2361,0.2098,7003540,1.02,-0.46,-2.27,-1.78,-1.57,10.04,9.1,35.35,Bull,1,4,2,9.44337,0.4651,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-23,9.399651,9.457943,9.355931,9.44337,6218800,0.4651,0.0,9.399653,9.487093,9.53081,9.37,9.55,9.55,8.55,0.2276,0.2095,7057900,0.88,-0.46,-0.92,-1.12,-1.12,10.01,9.09,38.0,Bull,2,4,2,9.370512,-0.7715,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-24,9.443378,9.50167,9.31222,9.370512,7198000,-0.7715,0.0001,9.44337,9.34136,9.195631,9.36,9.52,9.55,8.56,0.2151,0.2115,7152180,1.01,0.31,1.9,-1.57,-1.88,9.95,9.09,36.19,Bull,3,4,2,9.472522,1.0886,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-25,9.37051,9.516241,9.283071,9.472522,7151200,1.0886,0.0,9.370512,9.268497,9.312216,9.35,9.5,9.55,8.57,0.2064,0.2112,7165100,1.0,2.2,1.72,-0.29,-0.81,9.91,9.09,40.91,Bull,4,4,2,9.472522,0.0,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-26,9.472522,9.55996,9.428802,9.472522,4176400,0.0,0.0,9.472522,9.181051,9.414229,9.37,9.49,9.55,8.58,0.196,0.2116,7129480,0.59,3.17,0.62,-0.18,-0.81,9.88,9.1,45.0,Bull,5,4,2,9.457945,-0.1539,0,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
1996-04-29,9.472518,9.487091,9.385079,9.457945,4107200,-0.1539,0.0,9.472522,9.399653,9.44337,9.4,9.48,9.55,8.59,0.1925,0.211,7046640,0.58,0.62,0.15,-0.23,-0.96,9.87,9.1,47.37,Bull,1,4,2,9.501665,0.4623,1,75.0,4.0,19.0,19.0,4.0,2.9786,0.1589,0.7546,2.8197,2.8197,2.8197,0.0,0.0,0,0
