date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
1999-02-08,10-Q,0000320193-99-000002,75,39,72,0,5,2.1834,1.1354,2.0961,1.048,3435
1999-05-11,10-Q,0000320193-99-000004,95,62,115,4,11,1.8657,1.2176,2.2584,0.6481,5092
1999-07-16,8-K,0000320193-99-000007,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1999-08-06,10-Q,0000320193-99-000009,97,62,128,4,12,1.8243,1.1661,2.4074,0.6583,5317
1999-09-07,8-K,0000320193-99-000010,0,0,1,1,0,0.0,0.0,0.7752,0.0,129
1999-12-22,10-K,0000912057-99-010244,0,3,1,0,0,0.0,2.2727,0.7576,-2.2727,132
2000-01-24,8-K,0000912057-00-002128,0,0,1,1,0,0.0,0.0,0.7519,0.0,133
2000-02-01,10-Q,0000912057-00-003201,67,27,55,3,5,2.1223,0.8552,1.7422,1.267,3157
2000-05-11,10-Q,0000912057-00-023442,74,20,51,2,4,2.401,0.6489,1.6548,1.7521,3082
2000-07-31,10-Q,0000912057-00-033901,69,22,50,1,4,2.2323,0.7117,1.6176,1.5205,3091
2000-12-14,10-K,0000912057-00-053623,0,3,3,0,0,0.0,1.4925,1.4925,-1.4925,201
2001-02-12,10-Q,0000912057-01-004642,49,42,69,2,5,1.4934,1.2801,2.103,0.2133,3281
2001-05-14,10-Q,0000912057-01-515409,71,55,79,2,5,1.6078,1.2455,1.7889,0.3623,4416
2001-08-13,10-Q,0000912057-01-528148,82,68,91,2,6,1.5994,1.3263,1.7749,0.2731,5127
2002-02-11,10-Q,0000912057-02-004945,76,59,92,1,7,1.756,1.3632,2.1257,0.3928,4328
2002-05-14,10-Q,0000912057-02-020280,118,105,136,6,19,1.763,1.5688,2.032,0.1942,6693
2002-08-05,8-K,0000912057-02-029692,1,0,1,1,0,0.5348,0.0,0.5348,0.5348,187
2002-08-09,10-Q,0000912057-02-030796,117,140,162,7,19,1.4988,1.7935,2.0753,-0.2946,7806
2002-08-13,8-K,0000912057-02-031595,0,0,1,1,0,0.0,0.0,0.5319,0.0,188
2002-12-19,10-K,0001047469-02-007674,0,5,3,0,0,0.0,2.3041,1.3825,-2.3041,217
2003-02-10,10-Q,0001047469-03-004566,0,6,9,0,3,0.0,1.4851,2.2277,-1.4851,404
2003-03-21,8-K,0001104659-03-004649,0,0,1,0,0,0.0,0.0,0.6711,0.0,149
2003-04-16,8-K,0001047469-03-013617,0,0,1,1,2,0.0,0.0,0.3175,0.0,315
2003-05-13,10-Q,0001104659-03-009489,336,233,421,55,64,1.4954,1.037,1.8737,0.4584,22469
2003-07-16,8-K,0001104659-03-014913,0,0,1,0,2,0.0,0.0,0.3846,0.0,260
2003-08-12,10-Q,0001104659-03-017766,373,254,488,62,72,1.4341,0.9765,1.8762,0.4575,26010
2003-10-15,8-K,0001104659-03-022879,0,0,1,0,2,0.0,0.0,0.5076,0.0,197
2003-12-19,10-K,0001047469-03-041604,0,0,4,0,1,0.0,0.0,5.0633,0.0,79
2004-01-14,8-K,0001104659-04-000896,0,0,1,0,2,0.0,0.0,0.4878,0.0,205
2004-02-10,10-Q,0001104659-04-003080,364,289,439,211,71,1.539,1.2219,1.8562,0.3171,23651
2004-04-14,8-K,0001104659-04-010122,0,0,0,0,2,0.0,0.0,0.0,0.0,165
2004-05-06,10-Q,0001104659-04-013021,418,300,523,230,79,1.4553,1.0445,1.8209,0.4108,28722
2004-07-14,8-K,0001104659-04-019574,0,0,1,1,2,0.0,0.0,0.5464,0.0,183
2004-08-05,10-Q,0001104659-04-022384,438,325,560,268,84,1.4068,1.0438,1.7986,0.3629,31135
2004-10-13,8-K,0001104659-04-030400,0,1,2,2,3,0.0,0.3922,0.7843,-0.3922,255
2004-12-03,10-K,0001047469-04-035975,0,0,4,0,1,0.0,0.0,5.0633,0.0,79
2005-01-11,8-K,0001104659-05-001049,0,1,2,2,3,0.0,0.4464,0.8929,-0.4464,224
2005-01-12,8-K,0001104659-05-001183,0,1,1,1,3,0.0,0.4386,0.4386,-0.4386,228
2005-02-01,10-Q,0001104659-05-003520,390,293,511,232,84,1.5239,1.1448,1.9966,0.379,25593
2005-02-11,8-K,0001104659-05-005507,2,1,1,2,1,1.2121,0.6061,0.6061,0.6061,165
2005-03-02,8-K,0001181431-05-013840,1,4,2,2,2,0.3846,1.5385,0.7692,-1.1538,260
2005-04-13,8-K,0001104659-05-016307,0,1,1,1,3,0.0,0.4274,0.4274,-0.4274,234
2005-04-26,8-K,0001181431-05-023450,6,4,42,3,6,0.6154,0.4103,4.3077,0.2051,975
2005-05-04,10-Q,0001104659-05-020421,387,307,544,274,87,1.4105,1.1189,1.9827,0.2916,27438
2005-06-06,8-K,0001181431-05-033177,6,2,10,3,2,1.165,0.3883,1.9417,0.7767,515
2005-07-13,8-K,0001104659-05-032297,0,1,2,1,3,0.0,0.3788,0.7576,-0.3788,264
2005-08-03,10-Q,0001104659-05-035792,385,295,541,271,90,1.4138,1.0833,1.9866,0.3305,27232
2005-08-15,8-K,0001181431-05-046871,3,1,6,4,4,0.8696,0.2899,1.7391,0.5797,345
2005-08-26,8-K,0001181431-05-049163,1,1,2,3,2,0.4651,0.4651,0.9302,0.0,215
2005-10-11,8-K,0001104659-05-048094,0,1,2,2,3,0.0,0.3448,0.6897,-0.3448,290
2005-10-14,8-K,0001181431-05-056604,2,1,2,2,1,0.7576,0.3788,0.7576,0.3788,264
2005-12-01,10-K,0001104659-05-058421,768,465,798,380,128,1.5542,0.941,1.615,0.6132,49413
2005-12-19,8-K,0001181431-05-067468,1,2,14,2,2,0.2415,0.4831,3.3816,-0.2415,414
2006-01-10,8-K,0001104659-06-001428,0,1,3,2,3,0.0,0.3937,1.1811,-0.3937,254
2006-01-18,8-K,0001104659-06-002690,0,1,2,1,3,0.0,0.3559,0.7117,-0.3559,281
2006-02-03,10-Q,0001104659-06-005910,397,350,527,397,84,1.4055,1.2391,1.8658,0.1664,28246
2006-04-19,8-K,0001104659-06-025992,0,1,2,1,3,0.0,0.3704,0.7407,-0.3704,270
2006-04-21,8-K,0001181431-06-024759,0,1,3,2,1,0.0,0.3817,1.145,-0.3817,262
2006-05-05,10-Q,0001104659-06-031303,407,376,535,389,86,1.3621,1.2584,1.7905,0.1037,29880
2006-07-19,8-K,0001104659-06-047739,0,1,2,1,3,0.0,0.4274,0.8547,-0.4274,234
2006-08-04,8-K,0001104659-06-051302,0,1,3,1,1,0.0,0.4237,1.2712,-0.4237,236
2006-08-11,8-K,0001104659-06-054118,0,6,6,2,4,0.0,1.4599,1.4599,-1.4599,411
2006-09-01,8-K,0001104659-06-058808,1,1,4,1,2,0.2457,0.2457,0.9828,0.0,407
2006-10-04,8-K,0001104659-06-064935,0,2,2,1,1,0.0,0.9662,0.9662,-0.9662,207
2006-10-18,8-K,0001104659-06-067275,0,1,1,1,3,0.0,0.3663,0.3663,-0.3663,273
2006-10-27,8-K,0001104659-06-069015,0,2,3,1,3,0.0,0.9259,1.3889,-0.9259,216
2006-12-29,10-Q,0001104659-06-084286,295,185,315,43,81,1.4172,0.8888,1.5133,0.5285,20815
2006-12-29,10-K,0001104659-06-084288,261,336,380,513,63,1.0158,1.3077,1.4789,-0.2919,25694
2007-01-10,8-K,0001104659-07-001648,0,3,2,1,1,0.0,1.3393,0.8929,-1.3393,224
2007-01-17,8-K,0001104659-07-002905,0,1,2,1,3,0.0,0.3484,0.6969,-0.3484,287
2007-02-02,10-Q,0001104659-07-006648,349,393,522,410,93,1.3188,1.485,1.9725,-0.1663,26464
2007-02-21,8-K,0001104659-07-012760,0,1,3,1,1,0.0,0.5102,1.5306,-0.5102,196
2007-04-24,8-K,0001104659-07-030938,0,7,4,3,1,0.0,2.8226,1.6129,-2.8226,248
2007-04-25,8-K,0001104659-07-031354,0,1,2,1,3,0.0,0.3497,0.6993,-0.3497,286
2007-05-10,10-Q,0001104659-07-037745,389,409,531,424,97,1.3666,1.4369,1.8654,-0.0703,28465
2007-05-16,8-K,0001104659-07-040672,3,1,28,1,1,0.6536,0.2179,6.1002,0.4357,459
2007-07-25,8-K,0001104659-07-056111,0,1,2,1,3,0.0,0.3497,0.6993,-0.3497,286
2007-08-08,10-Q,0001104659-07-059873,391,388,531,378,97,1.3975,1.3868,1.8979,0.0107,27978
2007-10-22,8-K,0001104659-07-076142,0,1,2,2,3,0.0,0.3676,0.7353,-0.3676,272
2007-11-15,10-K,0001047469-07-009340,0,0,3,0,1,0.0,0.0,3.125,0.0,96
2008-01-08,8-K,0001181431-08-002372,0,1,4,2,2,0.0,0.2083,0.8333,-0.2083,480
2008-01-15,8-K,0001181431-08-003342,0,1,2,2,1,0.0,0.5051,1.0101,-0.5051,198
2008-01-22,8-K,0001193125-08-009715,0,1,2,2,3,0.0,0.3597,0.7194,-0.3597,278
2008-02-01,10-Q,0001193125-08-017426,380,428,536,464,110,1.4049,1.5823,1.9816,-0.1775,27049
2008-04-23,8-K,0001193125-08-088001,0,1,2,2,3,0.0,0.3597,0.7194,-0.3597,278
2008-05-01,10-Q,0001193125-08-097759,249,88,246,25,48,2.0418,0.7216,2.0172,1.3202,12195
2008-06-09,8-K,0001181431-08-037620,0,1,3,3,2,0.0,0.3049,0.9146,-0.3049,328
2008-07-21,8-K,0001193125-08-154381,0,1,2,2,3,0.0,0.3597,0.7194,-0.3597,278
2008-07-23,10-Q,0001193125-08-156421,110,49,139,12,21,1.8155,0.8087,2.2941,1.0068,6059
2008-08-26,8-K,0001181431-08-050059,0,1,2,2,1,0.0,0.4608,0.9217,-0.4608,217
2008-10-21,8-K,0001193125-08-213642,0,1,2,2,3,0.0,0.3559,0.7117,-0.3559,281
2008-11-05,10-K,0001193125-08-224958,5,1,18,1,4,0.7911,0.1582,2.8481,0.6329,632
